"Monthly Climate Statistics for 'HOBART AIRPORT' [094008]"
"Created on [ 13 Apr 2022 14:27:45 GMT+00:00]"

"094008 HOBART AIRPORT"
"Commenced: 1958"
"Last Record: 2022"
"Latitude:   42.83 Degrees South"
"Longitude:  147.50 Degrees East"
"Elevation:       4 m"
"State: TAS"

"Statistic Element","January","February","March","April","May","June","July","August","September","October","November","December","Annual","Number of Years","Start Year","End Year"
"Mean minimum temperature (Degrees C) for years 1958 to 2022 ",12.2,12.1,10.9,8.8,6.7,4.7,4.2,4.7,6.1,7.6,9.3,10.9,8.2,64,1958,2022
"Lowest temperature (Degrees C) for years 1958 to 2022 ",3.7,3.4,2.2,-0.6,-2.2,-3.9,-3.2,-2.0,-2.3,-1.0,1.7,2.7,-3.9,64,1958,2022
"Date of Lowest temperature for years 1958 to 2022 ",18 Jan  1966,10 Feb  1980,31 Mar  1987,26 Apr  1982,29 May  1979,23 Jun  1972,01 Jul  1968,03 Aug  1979,01 Sep  1959,05 Oct  1965,04 Nov  2015,01 Dec  1960,23 Jun  1972,N/A,1958,2022
"Highest minimum temperature (Degrees C) for years 1958 to 2022 ",23.2,23.6,21.0,18.6,16.0,15.1,12.3,14.3,17.3,18.6,18.8,22.3,23.6,64,1958,2022
"Date of Highest minimum temperature for years 1958 to 2022 ",29 Jan  2018,01 Feb  1974,16 Mar  2017,03 Apr  1989,05 May  2005,06 Jun  2016,18 Jul  1972,30 Aug  2005,24 Sep  1987,19 Oct  2017,26 Nov  1991,30 Dec  2002,01 Feb  1974,N/A,1958,2022
"Decile 1 minimum temperature (Degrees C) for years 1958 to 2022 ",8.4,8.2,6.8,5.0,2.9,1.3,1.1,1.5,2.6,3.7,5.4,7.2, ,59,1958,2022
"Decile 9 minimum temperature (Degrees C) for years 1958 to 2022 ",15.7,15.6,14.5,12.7,10.3,8.3,7.3,8.1,9.7,11.2,12.8,14.2, ,59,1958,2022
"Mean number of days <= 2 Degrees C for years 1958 to 2022 ",0.0,0.0,0.0,0.2,1.4,5.6,6.3,4.8,1.7,0.6,0.0,0.0,20.6,64,1958,2022
"Mean number of days <= 0 Degrees C for years 1958 to 2022 ",0.0,0.0,0.0,0.0,0.2,0.8,1.1,0.6,0.1,0.1,0.0,0.0,2.9,64,1958,2022
"Mean daily ground minimum temperature Degrees C for years 1958 to 2022 ",9.4,9.4,7.9,5.6,3.4,1.7,1.3,1.7,3.0,4.6,6.3,8.0,5.2,61,1958,2022
"Lowest ground temperature Degrees C for years 1958 to 2022 ",-0.5,-0.5,-2.6,-3.6,-7.2,-6.4,-7.7,-6.6,-11.1,-4.1,-3.1,-2.4,-11.1,61,1958,2022
"Date of Lowest ground temperature  for years 1958 to 2022 ",02 Jan  1974,16 Feb  1975,31 Mar  1973,26 Apr  1982,29 May  1979,23 Jun  1972,30 Jul  1971,07 Aug  1960,10 Sep  1996,04 Oct  1962,04 Nov  2015,02 Dec  1996,10 Sep  1996,N/A,1958,2022
"Mean number of days ground min. temp. <= -1 Degrees C for years 1958 to 2022 ",0.0,0.0,0.1,0.7,3.3,7.2,7.7,6.2,3.2,1.6,0.4,0.1,30.5,61,1958,2022
"Mean rainfall (mm) for years 1958 to 2022 ",40.3,34.9,36.3,40.5,35.7,34.0,41.7,47.2,40.2,47.1,44.3,52.1,492.0,63,1958,2022
"Highest rainfall (mm) for years 1958 to 2022 ",101.4,186.4,112.4,250.7,112.8,136.2,156.1,115.4,117.8,135.4,103.0,169.8,735.4,64,1958,2022
"Date of Highest rainfall for years 1958 to 2022 ",2015,1964,2003,1960,1969,2009,1967,1958,2005,2021,2001,1993,1975,N/A,1958,2022
"Lowest rainfall (mm) for years 1958 to 2022 ",2.6,2.6,1.8,7.4,3.4,4.2,4.8,6.8,9.0,7.8,1.8,0.8,297.2,64,1958,2022
"Date of Lowest rainfall for years 1958 to 2022 ",2008,2022,1992,1993,1991,2010,2010,1982,2018,2015,2003,1994,2006,N/A,1958,2022
"Decile 1 monthly rainfall (mm) for years 1958 to 2022 ",10.5,8.8,13.5,13.4,15.1,11.5,13.8,14.9,17.9,18.6,15.8,17.7,354.4,64,1958,2022
"Decile 5 (median) monthly rainfall (mm) for years 1958 to 2022 ",32.2,27.2,29.3,29.2,30.1,27.9,31.7,42.1,35.7,39.0,40.3,43.4,473.2,64,1958,2022
"Decile 9 monthly rainfall (mm) for years 1958 to 2022 ",86.6,63.5,71.3,80.4,62.1,64.5,74.5,83.0,67.5,92.1,80.3,100.3,660.9,64,1958,2022
"Highest daily rainfall (mm) for years 1958 to 2022 ",63.0,64.0,61.4,130.3,61.7,48.8,62.0,54.0,63.8,53.3,40.6,64.2,130.3,64,1958,2022
"Date of Highest daily rainfall for years 1958 to 2022 ",14 Jan  2015,23 Feb  1964,23 Mar  1983,23 Apr  1960,17 May  1969,08 Jun  2011,11 Jul  1967,28 Aug  1981,12 Sep  2005,21 Oct  1973,30 Nov  1977,27 Dec  1993,23 Apr  1960,N/A,1958,2022
"Mean number of days of rain for years 1958 to 2022 ",9.0,8.3,10.1,10.5,11.4,11.4,13.3,13.9,13.8,13.7,12.9,12.0,140.3,64,1958,2022
"Mean number of days of rain >= 1 mm for years 1958 to 2022 ",5.3,5.0,6.2,6.6,7.1,6.5,7.8,8.9,8.0,8.5,7.6,7.3,84.8,64,1958,2022
"Mean number of days of rain >= 10 mm for years 1958 to 2022 ",1.3,1.1,0.8,0.9,0.7,0.6,0.9,1.1,0.8,1.1,1.2,1.4,11.9,64,1958,2022
"Mean number of days of rain >= 25 mm for years 1958 to 2022 ",0.3,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.1,0.3,0.1,0.4,2.3,64,1958,2022
"Mean daily wind run (km) for years 1995 to 2022 ",426,399,384,363,355,340,339,380,413,429,432,445,392,25,1995,2022
"Maximum wind gust speed (km/h) for years 1958 to 2022 ",115,102,117,115,117,111,111,111,111,130,124,102,130,62,1958,2022
"Date of Maximum wind gust speed for years 1958 to 2022 ",04 Jan  1975,07 Feb  1967,15 Mar  1980,17 Apr  1981,18 May  1962,13 Jun  1983,31 Jul  1984,29 Aug  1962,22 Sep  1983,26 Oct  1988,09 Nov  1982,23 Dec  1972,26 Oct  1988,N/A,1958,2022
"Mean daily sunshine (hours) for years 1968 to 2020 ",8.2,7.9,6.7,5.9,4.7,4.3,4.8,5.7,6.3,7.4,7.4,7.9,6.4,50,1968,2020
"Mean daily solar exposure (MJ/(m*m)) for years 1990 to 2022 ",23.1,19.4,14.6,9.5,6.1,4.7,5.5,8.5,12.7,17.2,20.7,23.5,13.8,32,1990,2022
"Mean number of clear days for years 1958 to 2010 ",4.9,4.3,4.2,4.0,3.8,4.1,4.1,3.8,2.9,3.1,2.7,2.9,44.8,51,1958,2010
"Mean number of cloudy days for years 1958 to 2010 ",13.4,11.1,13.0,13.8,15.7,14.3,14.4,14.5,13.9,14.0,15.6,15.4,169.1,51,1958,2010
"Mean daily evaporation (mm) for years 1986 to 2022 ",6.3,5.5,4.2,2.9,1.9,1.3,1.4,2.0,3.1,4.1,4.9,6.0,3.6,33,1986,2022
"Mean 9am temperature (Degrees C) for years 1958 to 2010 ",16.6,16.1,14.7,12.8,10.0,7.6,7.1,8.2,10.6,12.4,13.9,15.5,12.1,51,1958,2010
"Mean 9am wet bulb temperature (Degrees C) for years 1958 to 2010 ",12.6,12.7,11.7,10.2,8.1,6.0,5.6,6.4,7.9,9.3,10.4,11.6,9.4,51,1958,2010
"Mean 9am dew point temperature (Degrees C) for years 1958 to 2010 ",8.7,9.3,8.7,7.4,5.9,4.1,3.6,3.9,4.7,5.5,6.6,7.5,6.3,51,1958,2010
"Mean 9am relative humidity (%) for years 1958 to 2010 ",61,66,69,71,77,80,80,76,68,64,63,60,69,51,1958,2010
"Mean 9am cloud cover (okas) for years 1958 to 2010 ",5.1,5.1,5.1,5.1,5.2,5.0,4.9,4.8,5.1,5.2,5.4,5.5,5.1,51,1958,2010
"Mean 9am wind speed (km/h) for years 1958 to 2010 ",14.5,13.2,12.8,13.4,12.3,12.3,12.3,13.8,16.1,16.4,15.8,15.5,14.0,50,1958,2010
"Mean 3pm temperature (Degrees C) for years 1958 to 2010 ",20.5,20.6,19.1,16.6,14.1,11.9,11.4,12.4,13.8,15.6,17.3,18.9,16.0,51,1958,2010
"Mean 3pm wet bulb temperature (Degrees C) for years 1958 to 2010 ",14.5,14.7,13.8,12.1,10.4,8.8,8.3,8.7,9.6,10.9,12.3,13.4,11.5,51,1958,2010
"Mean 3pm dew point temperature (Degrees C) for years 1958 to 2010 ",9.0,9.5,8.8,7.4,6.3,5.1,4.4,4.3,4.7,5.7,7.0,8.0,6.7,51,1958,2010
"Mean 3pm relative humidity (%) for years 1958 to 2010 ",50,51,53,56,61,64,63,60,56,54,53,52,56,51,1958,2010
"Mean 3pm cloud cover (oktas) for years 1958 to 2010 ",4.7,4.6,4.9,5.2,5.3,5.3,5.2,5.4,5.5,5.3,5.4,5.3,5.2,51,1958,2010
"Mean 3pm wind speed (km/h) for years 1958 to 2010 ",23.9,22.2,20.1,18.1,15.5,14.0,15.2,17.6,20.9,22.5,23.7,24.2,19.8,50,1958,2010
